Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0
0.089,0.00176211,0.089,0.00144659,0.089,0.0193711,0.089,0.0338203,0.089,0.0092994,0.089,0.00920066,0.089,0.00959563,0.089,0.009069,0.089,0.00903609,0.089,0.023979,0.089,0.0230903
0.09,0.00169628,0.09,0.00143341,0.09,0.0192723,0.09,0.0343798,0.09,0.00959563,0.09,0.00897026,0.09,0.00916774,0.09,0.00897026,0.09,0.00897026,0.09,0.023979,0.09,0.0237486
0.091,0.00169628,0.091,0.00142682,0.091,0.0193381,0.091,0.0346102,0.091,0.00920066,0.091,0.00900318,0.091,0.0083449,0.091,0.00890443,0.091,0.00913483,0.091,0.0240119,0.091,0.023584
0.092,0.00166337,0.092,0.00144,0.092,0.0203914,0.092,0.0337874,0.092,0.00883861,0.092,0.00910192,0.092,0.00910192,0.092,0.00900318,0.092,0.00939814,0.092,0.0240778,0.092,0.0242752
0.093,0.00169628,0.093,0.00145318,0.093,0.0202268,0.093,0.0333924,0.093,0.00939814,0.093,0.00920066,0.093,0.00916774,0.093,0.009069,0.093,0.00989185,0.093,0.0240448,0.093,0.0231562
0.094,0.00169628,0.094,0.00143341,0.094,0.0198319,0.094,0.0340507,0.094,0.00946397,0.094,0.00926649,0.094,0.00989185,0.094,0.00910192,0.094,0.00850947,0.094,0.023979,0.094,0.0238474
0.095,0.00166337,0.095,0.00144659,0.095,0.0189432,0.095,0.0347419,0.095,0.00920066,0.095,0.00923357,0.095,0.00992477,0.095,0.00910192,0.095,0.00831198,0.095,0.0240448,0.095,0.0243082
0.096,0.00169628,0.096,0.00142023,0.096,0.0191078,0.096,0.0343469,0.096,0.00933231,0.096,0.00920066,0.096,0.00877278,0.096,0.00913483,0.096,0.00897026,0.096,0.0239461,0.096,0.0247031
0.097,0.00176211,0.097,0.00142682,0.097,0.0199964,0.097,0.0340507,0.097,0.00867404,0.097,0.00913483,0.097,0.00854238,0.097,0.00913483,0.097,0.00926649,0.097,0.023979,0.097,0.0234195
0.098,0.00176211,0.098,0.00144,0.098,0.0202597,0.098,0.033919,0.098,0.00933231,0.098,0.00910192,0.098,0.00883861,0.098,0.009069,0.098,0.0097602,0.098,0.023979,0.098,0.0241107
0.099,0.00176211,0.099,0.00144,0.099,0.0200293,0.099,0.0339848,0.099,0.00946397,0.099,0.00877278,0.099,0.00936523,0.099,0.009069,0.099,0.00939814,0.099,0.0239461,0.099,0.0240778
