Time - Voltage,Amplitude - Voltage
0.866,-0.000155384
0.867,-0.000622905
0.868,-0.00101799
0.869,-0.00094556
0.87,-0.000484624
0.871,-0.000155384
0.872,0.000424077
0.873,0.000766486
0.874,0.00081258
0.875,0.000417492
0.876,-0.00028708
0.877,-0.000675583
0.878,-0.000873127
0.879,-0.000846788
0.88,-0.000655829
0.881,-8.30E-05
0.882,0.000364814
0.883,0.000707223
0.884,0.000786241
0.885,0.000226533
0.886,-0.000247572
0.887,-0.000840203
0.888,-0.000938975
0.889,-0.000925805
0.89,-0.00076777
0.891,-0.000175139
0.892,0.000351645
0.893,0.000819165
0.894,0.0011484
0.895,0.000397738
0.896,-0.000142215
0.897,-0.000668998
0.898,-0.00093239
0.899,-0.000899466
0.9,-0.00061632
0.901,-0.000175139
0.902,0.000417492
0.903,0.00079941
0.904,0.000753317
0.905,0.000391153
0.906,-0.000188308
0.907,-0.00062949
0.908,-0.00091922
0.909,-0.000991653
0.91,-0.000662414
0.911,-0.000161969
0.912,0.000437247
0.913,0.000726978
0.914,0.000759902
0.915,0.000325305
0.916,-0.000168554
0.917,-0.000668998
0.918,-0.00094556
0.919,-0.000892881
0.92,-0.000570226
0.921,-0.000122461
0.922,0.000740147
0.923,0.00079941
0.924,0.000786241
0.925,0.000312136
0.926,-0.000320004
0.927,-0.000583396
0.928,-0.00091922
0.929,-0.00111676
0.93,-0.000721677
0.931,-0.00028708
0.932,0.000516264
0.933,0.000779656
0.934,0.00066113
0.935,0.000424077
0.936,-0.000194893
0.937,-0.000715092
0.938,-0.000985068
0.939,-0.000906051
0.94,-0.000609735
0.941,-0.000188308
0.942,0.000443832
0.943,0.000766486
0.944,0.000786241
0.945,0.000463586
0.946,-0.000188308
0.947,-0.000596566
0.948,-0.00094556
0.949,-0.00101141
0.95,-0.000668998
0.951,-0.000181724
0.952,0.000364814
0.953,0.000832334
0.954,0.000819165
0.955,0.000424077
0.956,2.65E-06
0.957,-0.000642659
0.958,-0.000965314
0.959,-0.000965314
0.96,-0.000609735
0.961,-0.000109291
0.962,0.000470171
0.963,0.000786241
0.964,0.000950861
0.965,0.000430662
0.966,-5.66E-05
0.967,-0.000576811
0.968,-0.00091922
0.969,-0.000899466
0.97,-0.000774355
0.971,-9.61E-05
0.972,0.000371399
0.973,0.000634791
0.974,0.000792826
0.975,0.000463586
0.976,-5.66E-05
0.977,-0.000682168
0.978,-0.000971899
0.979,-0.00103775
0.98,-0.000675583
0.981,-0.000293665
0.982,0.000384568
0.983,0.000733562
0.984,0.000937691
0.985,0.000358229
0.986,-6.98E-05
0.987,-0.000761185
0.988,-0.000840203
0.989,-0.000965314
0.99,-0.000668998
0.991,-0.000208063
0.992,0.000351645
0.993,0.000694054
0.994,0.000753317
0.995,0.000503095
0.996,-0.000142215
0.997,-0.000570226
0.998,-0.00109043
0.999,-0.000978484
